#,Event,Date,Venue,Location,Attendance,url
547,UFC on ABC: Holloway vs. Kattar,2021-01-16,[182],,,https://en.wikipedia.org/wiki/UFC_on_ABC:_Holloway_vs._Kattar
546,UFC Fight Night: Thompson vs. Neal,2020-12-19,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Neal
545,UFC 256: Figueiredo vs. Moreno,2020-12-12,[184],,,https://en.wikipedia.org/wiki/UFC_256
544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,[185],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Hermansson_vs._Vettori
543,UFC on ESPN: Smith vs. Clark,2020-11-28,[186],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Smith_vs._Clark
542,UFC 255: Figueiredo vs. Perez,2020-11-21,[187],,,https://en.wikipedia.org/wiki/UFC_255
541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,[188],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._dos_Anjos
540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,[189],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Santos_vs._Teixeira
539,UFC Fight Night: Hall vs. Silva,2020-10-31,[190],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hall_vs._Silva
538,UFC 254: Khabib vs. Gaethje,2020-10-24,du Forum,"Abu Dhabi, United Arab Emirates",[191],https://en.wikipedia.org/wiki/UFC_254
537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,[192],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ortega_vs._The_Korean_Zombie
536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,[193],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moraes_vs._Sandhagen
535,UFC on ESPN: Holm vs. Aldana,2020-10-04,[194],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holm_vs._Aldana
534,UFC 253: Adesanya vs. Costa,2020-09-27,[195],,,https://en.wikipedia.org/wiki/UFC_253
533,UFC Fight Night: Covington vs. Woodley,2020-09-19,UFC Apex,"Las Vegas, Nevada, U.S.",[196],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Covington_vs._Woodley
532,UFC Fight Night: Waterson vs. Hill,2020-09-12,[197],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Waterson_vs._Hill
531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,[198],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Sakai
530,UFC Fight Night: Smith vs. Rakić,2020-08-29,[199],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Raki%C4%87
529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,[200],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Munhoz_vs._Edgar
528,UFC 252: Miocic vs. Cormier 3,2020-08-15,[201],,,https://en.wikipedia.org/wiki/UFC_252
527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,[202],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Oleinik
526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,[203],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Shahbazyan
525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,"Abu Dhabi, United Arab Emirates",[204],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Whittaker_vs._Till
524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,[205],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Figueiredo_vs._Benavidez_2
523,UFC on ESPN: Kattar vs. Ige,2020-07-16,[206],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Ige
522,UFC 251: Usman vs. Masvidal,2020-07-12,[207],,,https://en.wikipedia.org/wiki/UFC_251
521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,"Las Vegas, Nevada, U.S.",[208],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Poirier_vs._Hooker
520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,[209],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Volkov
519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,[210],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Eye_vs._Calvillo
518,UFC 250: Nunes vs. Spencer,2020-06-06,[211],,,https://en.wikipedia.org/wiki/UFC_250
517,UFC on ESPN: Woodley vs. Burns,2020-05-30,[212],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Woodley_vs._Burns
516,UFC on ESPN: Overeem vs. Harris,2020-05-16,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.",[213],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Overeem_vs._Harris
515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,[214],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Teixeira
514,UFC 249: Ferguson vs. Gaethje,2020-05-09,[215],,,https://en.wikipedia.org/wiki/UFC_249
