#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
682,UFC 299: O'Malley vs. Vera 2,2024-03-09,Kaseya Center,"Miami, Florida, U.S.","19,165",https://en.wikipedia.org/wiki/UFC_299,https://www.bestfightodds.com/events/ufc-299-3155,
681,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Gaziev,https://www.bestfightodds.com/events/ufc-3162,
680,UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Arena CDMX,"Mexico City, Mexico","21,546",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moreno_vs._Royval_2,https://www.bestfightodds.com/events/ufc-3194,
679,UFC 298: Volkanovski vs. Topuria,2024-02-17,Honda Center,"Anaheim, California, U.S.","18,186",https://en.wikipedia.org/wiki/UFC_298,https://www.bestfightodds.com/events/ufc-298-3112,
678,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Pyfer,https://www.bestfightodds.com/events/ufc-3123,
677,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,[52],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dolidze_vs._Imavov,https://www.bestfightodds.com/events/ufc-fight-night-3158,
676,UFC 297: Strickland vs. du Plessis,2024-01-20,Scotiabank Arena,"Toronto, Ontario, Canada","18,559",https://en.wikipedia.org/wiki/UFC_297,https://www.bestfightodds.com/events/ufc-297-3106,
675,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ankalaev_vs._Walker_2,https://www.bestfightodds.com/events/ufc-3053,
674,UFC 296: Edwards vs. Covington,2023-12-16,T-Mobile Arena,"19,039",[55],https://en.wikipedia.org/wiki/UFC_296,https://www.bestfightodds.com/events/ufc-3133,
673,UFC Fight Night: Song vs. Gutiérrez,2023-12-09,UFC Apex,—,[56],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Song_vs._Guti%C3%A9rrez,https://www.bestfightodds.com/events/ufc-3057,https://www.bestfightodds.com/events/ufc-fight-night-3107
672,UFC on ESPN: Dariush vs. Tsarukyan,2023-12-02,Moody Center,"Austin, Texas, U.S.","14,485",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Dariush_vs._Tsarukyan,https://www.bestfightodds.com/events/ufc-3105,
671,UFC Fight Night: Allen vs. Craig,2023-11-18,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Allen_vs._Craig,https://www.bestfightodds.com/events/ufc-2988,https://www.bestfightodds.com/events/ufc-2970
