W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Frank Camacho 


Manuel Torres","0
    

      1","16 of 31
    

      34 of 64","51%
    

      53%","24 of 40
    

      34 of 64","0 of 5
    

      0 of 1","0
    

      0","0:14
    

      0:16"
"Jake Hadley 


Allan Nascimento","0
    

      0","3 of 14
    

      4 of 11","21%
    

      36%","11 of 22
    

      14 of 21","0 of 0
    

      1 of 1","1
    

      1","1:23
    

      2:59"
"Jake Hadley 


Allan Nascimento","0
    

      0","2 of 5
    

      9 of 21","40%
    

      42%","9 of 12
    

      14 of 26","0 of 0
    

      1 of 1","0
    

      0","0:25
    

      4:04"
"Jake Hadley 


Allan Nascimento","0
    

      0","3 of 10
    

      6 of 20","30%
    

      30%","6 of 13
    

      8 of 22","0 of 0
    

      0 of 2","0
    

      2","2:02
    

      2:24"
"Viviane Araujo 


Andrea Lee","0
    

      1","18 of 34
    

      25 of 51","52%
    

      49%","31 of 48
    

      29 of 55","2 of 4
    

      1 of 1","0
    

      0","2:48
    

      0:26"
"Viviane Araujo 


Andrea Lee","0
    

      0","14 of 27
    

      9 of 10","51%
    

      90%","48 of 83
    

      13 of 14","0 of 0
    

      0 of 1","0
    

      0","4:26
    

      0:00"
"Viviane Araujo 


Andrea Lee","0
    

      0","7 of 18
    

      13 of 21","38%
    

      61%","17 of 29
    

      22 of 34","1 of 1
    

      0 of 0","0
    

      0","3:26
    

      0:22"
"Michael Johnson 


Alan Patrick","0
    

      0","11 of 22
    

      13 of 21","50%
    

      61%","18 of 32
    

      17 of 26","1 of 1
    

      0 of 3","0
    

      0","1:33
    

      0:12"
"Michael Johnson 


Alan Patrick","1
    

      0","19 of 26
    

      9 of 26","73%
    

      34%","22 of 29
    

      13 of 30","0 of 0
    

      0 of 2","0
    

      0","0:28
    

      0:00"
"Virna Jandiroba 


Angela Hill","0
    

      0","5 of 21
    

      4 of 17","23%
    

      23%","16 of 32
    

      11 of 25","0 of 3
    

      1 of 2","0
    

      0","1:17
    

      0:39"
"Virna Jandiroba 


Angela Hill","0
    

      0","6 of 27
    

      12 of 27","22%
    

      44%","30 of 57
    

      16 of 33","1 of 2
    

      0 of 0","0
    

      0","1:44
    

      1:13"
"Virna Jandiroba 


Angela Hill","0
    

      0","3 of 12
    

      5 of 11","25%
    

      45%","46 of 62
    

      17 of 28","2 of 3
    

      0 of 0","0
    

      1","4:03
    

      0:16"
"Tatsuro Taira 


Carlos Candelario","0
    

      0","13 of 24
    

      5 of 24","54%
    

      20%","15 of 27
    

      10 of 29","1 of 5
    

      1 of 3","0
    

      0","0:45
    

      0:44"
"Tatsuro Taira 


Carlos Candelario","1
    

      0","15 of 19
    

      4 of 6","78%
    

      66%","31 of 40
    

      11 of 14","0 of 0
    

      0 of 1","1
    

      2","3:13
    

      1:16"
"Tatsuro Taira 


Carlos Candelario","0
    

      0","29 of 44
    

      0 of 4","65%
    

      0%","43 of 65
    

      0 of 4","0 of 0
    

      1 of 1","1
    

      1","2:59
    

      1:28"
"Nick Maximov 


Andre Petroski","0
    

      0","4 of 11
    

      1 of 10","36%
    

      10%","4 of 11
    

      1 of 10","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      0:23"
"Charles Oliveira 


Justin Gaethje","1
    

      1","30 of 47
    

      21 of 33","63%
    

      63%","33 of 52
    

      21 of 33","0 of 1
    

      0 of 0","0
    

      0","0:39
    

      0:13"
"Rose Namajunas 


Carla Esparza","0
    

      0","4 of 19
    

      4 of 19","21%
    

      21%","4 of 19
    

      4 of 19","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Rose Namajunas 


Carla Esparza","0
    

      0","3 of 14
    

      4 of 22","21%
    

      18%","3 of 14
    

      4 of 22","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:00"
"Rose Namajunas 


Carla Esparza","0
    

      0","11 of 36
    

      9 of 32","30%
    

      28%","11 of 36
    

      9 of 32","0 of 0
    

      0 of 3","0
    

      0","0:00
    

      0:02"
"Rose Namajunas 


Carla Esparza","0
    

      0","6 of 28
    

      8 of 29","21%
    

      27%","7 of 29
    

      8 of 29","0 of 0
    

      2 of 5","0
    

      0","0:02
    

      0:20"
"Rose Namajunas 


Carla Esparza","0
    

      0","13 of 39
    

      5 of 31","33%
    

      16%","13 of 39
    

      5 of 31","1 of 1
    

      0 of 2","0
    

      0","0:08
    

      0:00"
"Michael Chandler 


Tony Ferguson","0
    

      0","26 of 52
    

      20 of 50","50%
    

      40%","42 of 72
    

      27 of 58","1 of 1
    

      0 of 0","0
    

      0","2:29
    

      0:00"
"Michael Chandler 


Tony Ferguson","1
    

      0","1 of 1
    

      0 of 0","100%
    

      ---","1 of 1
    

      0 of 0","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Mauricio Rua 


Ovince Saint Preux","0
    

      0","20 of 38
    

      20 of 34","52%
    

      58%","20 of 38
    

      20 of 34","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Mauricio Rua 


Ovince Saint Preux","0
    

      0","21 of 33
    

      20 of 39","63%
    

      51%","21 of 33
    

      20 of 39","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Mauricio Rua 


Ovince Saint Preux","0
    

      0","13 of 28
    

      22 of 39","46%
    

      56%","13 of 28
    

      22 of 39","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:15"
"Randy Brown 


Khaos Williams","0
    

      0","18 of 36
    

      21 of 58","50%
    

      36%","19 of 37
    

      28 of 66","0 of 2
    

      0 of 0","0
    

      0","0:00
    

      1:43"
"Randy Brown 


Khaos Williams","0
    

      0","34 of 69
    

      25 of 80","49%
    

      31%","41 of 77
    

      34 of 89","0 of 0
    

      0 of 0","0
    

      0","0:04
    

      1:19"
"Randy Brown 


Khaos Williams","0
    

      1","41 of 72
    

      29 of 86","56%
    

      33%","43 of 74
    

      34 of 91","0 of 2
    

      0 of 0","0
    

      0","0:07
    

      1:07"
"Francisco Trinaldo 


Danny Roberts","0
    

      0","23 of 37
    

      16 of 57","62%
    

      28%","25 of 39
    

      16 of 57","0 of 0
    

      0 of 0","0
    

      0","0:21
    

      0:04"
"Francisco Trinaldo 


Danny Roberts","0
    

      0","34 of 48
    

      7 of 17","70%
    

      41%","41 of 57
    

      9 of 20","0 of 1
    

      0 of 0","0
    

      0","3:14
    

      0:03"
"Francisco Trinaldo 


Danny Roberts","0
    

      0","23 of 39
    

      13 of 44","58%
    

      29%","25 of 41
    

      19 of 51","0 of 0
    

      0 of 0","0
    

      0","0:46
    

      0:32"
"Macy Chiasson 


Norma Dumont","0
    

      0","19 of 57
    

      16 of 41","33%
    

      39%","19 of 57
    

      21 of 46","1 of 1
    

      0 of 0","0
    

      0","0:02
    

      0:00"
"Macy Chiasson 


Norma Dumont","0
    

      0","10 of 25
    

      10 of 17","40%
    

      58%","42 of 62
    

      33 of 42","2 of 6
    

      0 of 0","0
    

      0","3:13
    

      0:18"
"Macy Chiasson 


Norma Dumont","0
    

      0","3 of 7
    

      12 of 17","42%
    

      70%","70 of 75
    

      42 of 48","3 of 5
    

      0 of 0","0
    

      0","4:19
    

      0:08"
"Brandon Royval 


Matt Schnell","0
    

      1","14 of 39
    

      12 of 33","35%
    

      36%","14 of 39
    

      15 of 36","0 of 0
    

      0 of 0","0
    

      0","0:13
    

      0:54"
"Blagoy Ivanov 


Marcos Rogerio de Lima","0
    

      0","12 of 29
    

      25 of 45","41%
    

      55%","15 of 32
    

      25 of 45","0 of 2
    

      0 of 0","0
    

      0","0:32
    

      0:00"
"Blagoy Ivanov 


Marcos Rogerio de Lima","0
    

      0","30 of 54
    

      26 of 56","55%
    

      46%","33 of 58
    

      35 of 65","0 of 2
    

      0 of 1","0
    

      0","2:09
    

      0:17"
"Blagoy Ivanov 


Marcos Rogerio de Lima","0
    

      0","20 of 45
    

      17 of 32","44%
    

      53%","27 of 52
    

      21 of 37","0 of 0
    

      1 of 4","0
    

      0","1:11
    

      1:47"
"Andre Fialho 


Cameron VanCamp","1
    

      0","17 of 24
    

      19 of 31","70%
    

      61%","17 of 24
    

      19 of 31","0 of 0
    

      0 of 0","0
    

      0","0:02
    

      0:00"
"Tracy Cortez 


Melissa Gatto","0
    

      0","11 of 16
    

      7 of 20","68%
    

      35%","23 of 29
    

      14 of 28","1 of 1
    

      1 of 2","1
    

      0","3:16
    

      0:38"
"Tracy Cortez 


Melissa Gatto","0
    

      0","9 of 23
    

      15 of 35","39%
    

      42%","20 of 34
    

      25 of 47","0 of 0
    

      2 of 3","0
    

      0","1:35
    

      2:04"
"Tracy Cortez 


Melissa Gatto","0
    

      0","16 of 27
    

      8 of 18","59%
    

      44%","27 of 39
    

      10 of 20","1 of 2
    

      0 of 1","0
    

      1","3:03
    

      0:35"
"Kleydson Rodrigues 


CJ Vergara","0
    

      0","48 of 88
    

      27 of 51","54%
    

      52%","52 of 92
    

      54 of 80","1 of 2
    

      0 of 0","0
    

      0","0:54
    

      0:00"
"Kleydson Rodrigues 


CJ Vergara","0
    

      0","13 of 17
    

      26 of 39","76%
    

      66%","20 of 24
    

      65 of 84","0 of 2
    

      0 of 0","1
    

      0","0:09
    

      3:58"
"Kleydson Rodrigues 


CJ Vergara","0
    

      0","20 of 38
    

      18 of 37","52%
    

      48%","21 of 40
    

      36 of 57","1 of 3
    

      0 of 0","1
    

      0","2:11
    

      0:22"
"Ariane Carnelossi 


Loopy Godinez","0
    

      0","2 of 8
    

      6 of 11","25%
    

      54%","3 of 9
    

      31 of 41","0 of 1
    

      4 of 4","0
    

      0","0:00
    

      4:20"
"Ariane Carnelossi 


Loopy Godinez","0
    

      0","3 of 7
    

      23 of 30","42%
    

      76%","9 of 14
    

      49 of 61","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      4:24"
"Ariane Carnelossi 


Loopy Godinez","0
    

      0","4 of 5
    

      17 of 20","80%
    

      85%","11 of 12
    

      50 of 71","0 of 0
    

      3 of 3","0
    

      0","0:00
    

      4:42"
"Journey Newson 


Fernie Garcia","0
    

      0","7 of 41
    

      11 of 27","17%
    

      40%","8 of 42
    

      12 of 28","1 of 2
    

      0 of 0","0
    

      0","0:17
    

      0:02"
"Journey Newson 


Fernie Garcia","0
    

      0","28 of 52
    

      14 of 41","53%
    

      34%","29 of 53
    

      14 of 41","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Journey Newson 


Fernie Garcia","0
    

      0","22 of 50
    

      12 of 35","44%
    

      34%","26 of 55
    

      12 of 35","1 of 1
    

      0 of 0","0
    

      0","0:25
    

      0:00"
"Rob Font 


Marlon Vera","0
    

      0","57 of 100
    

      26 of 46","57%
    

      56%","57 of 100
    

      26 of 46","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Rob Font 


Marlon Vera","0
    

      1","51 of 97
    

      27 of 52","52%
    

      51%","51 of 97
    

      30 of 55","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      0:23"
"Rob Font 


Marlon Vera","0
    

      1","71 of 123
    

      37 of 71","57%
    

      52%","71 of 123
    

      39 of 73","1 of 1
    

      0 of 0","0
    

      0","0:18
    

      0:33"
"Rob Font 


Marlon Vera","0
    

      1","42 of 89
    

      36 of 56","47%
    

      64%","44 of 93
    

      39 of 59","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      1:09"
"Rob Font 


Marlon Vera","0
    

      0","50 of 107
    

      33 of 58","46%
    

      56%","50 of 107
    

      33 of 58","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Andrei Arlovski 


Jake Collier","0
    

      0","20 of 40
    

      25 of 46","50%
    

      54%","31 of 51
    

      50 of 73","0 of 0
    

      0 of 1","0
    

      0","0:01
    

      1:54"
"Andrei Arlovski 


Jake Collier","0
    

      0","39 of 66
    

      36 of 65","59%
    

      55%","40 of 67
    

      47 of 78","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      1:21"
"Andrei Arlovski 


Jake Collier","0
    

      0","32 of 58
    

      32 of 77","55%
    

      41%","34 of 60
    

      35 of 80","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      0:23"
"Andre Fili 


Joanderson Brito","0
    

      1","6 of 15
    

      14 of 20","40%
    

      70%","6 of 15
    

      14 of 20","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:07"
"Jared Gordon 


Grant Dawson","0
    

      0","20 of 28
    

      15 of 32","71%
    

      46%","22 of 30
    

      51 of 75","0 of 0
    

      1 of 4","0
    

      0","0:14
    

      2:42"
"Jared Gordon 


Grant Dawson","0
    

      0","14 of 27
    

      10 of 28","51%
    

      35%","20 of 33
    

      16 of 35","0 of 0
    

      3 of 7","0
    

      0","0:05
    

      3:42"
"Jared Gordon 


Grant Dawson","0
    

      0","43 of 64
    

      29 of 51","67%
    

      56%","69 of 90
    

      31 of 53","0 of 0
    

      3 of 6","0
    

      0","0:53
    

      0:47"
